Loan_ID,Gender,d_gender,Married,d_married,Dependents,d_dependents,Education,d_education,Self_Employed,d_self_employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,d_urban,d_rural,Loan_Status,d_loan_status
LP001282,Male,0,Yes,1,0,0,Graduate,1,No,0,2500,2118,104,360,1,Semiurban,0,0,Y,1
LP001289,Male,0,No,0,0,0,Graduate,1,No,0,8566,0,210,360,1,Urban,1,0,Y,1
LP001310,Male,0,Yes,1,0,0,Graduate,1,No,0,5695,4167,175,360,1,Semiurban,0,0,Y,1
LP001316,Male,0,Yes,1,0,0,Graduate,1,No,0,2958,2900,131,360,1,Semiurban,0,0,Y,1
LP001318,Male,0,Yes,1,2,1,Graduate,1,No,0,6250,5654,188,180,1,Semiurban,0,0,Y,1
LP001319,Male,0,Yes,1,2,1,Not Graduate,0,No,0,3273,1820,81,360,1,Urban,1,0,Y,1
LP001322,Male,0,No,0,0,0,Graduate,1,No,0,4133,0,122,360,1,Semiurban,0,0,Y,1
LP001325,Male,0,No,0,0,0,Not Graduate,0,No,0,3620,0,25,120,1,Semiurban,0,0,Y,1
LP001326,Male,0,No,0,0,0,Graduate,1,No,0,6782,0,,360,,Urban,1,0,N,0
LP001327,Female,1,Yes,1,0,0,Graduate,1,No,0,2484,2302,137,360,1,Semiurban,0,0,Y,1
LP001333,Male,0,Yes,1,0,0,Graduate,1,No,0,1977,997,50,360,1,Semiurban,0,0,Y,1
LP001334,Male,0,Yes,1,0,0,Not Graduate,0,No,0,4188,0,115,180,1,Semiurban,0,0,Y,1
LP001343,Male,0,Yes,1,0,0,Graduate,1,No,0,1759,3541,131,360,1,Semiurban,0,0,Y,1
LP001345,Male,0,Yes,1,2,1,Not Graduate,0,No,0,4288,3263,133,180,1,Urban,1,0,Y,1
LP001349,Male,0,No,0,0,0,Graduate,1,No,0,4843,3806,151,360,1,Semiurban,0,0,Y,1
LP001350,Male,0,Yes,1,1,1,Graduate,1,No,0,13650,0,,360,1,Urban,1,0,Y,1
LP001356,Male,0,Yes,1,0,0,Graduate,1,No,0,4652,3583,,360,1,Semiurban,0,0,Y,1
LP001357,Male,0,No,0,0,0,Graduate,1,No,0,3816,754,160,360,1,Urban,1,0,Y,1
LP001367,Male,0,Yes,1,1,1,Graduate,1,No,0,3052,1030,100,360,1,Urban,1,0,Y,1
LP001369,Male,0,Yes,1,2,1,Graduate,1,No,0,11417,1126,225,360,1,Urban,1,0,Y,1
LP001370,Male,0,No,0,0,0,Not Graduate,0,Yes,0,7333,0,120,360,1,Rural,0,1,N,0
LP001379,Male,0,Yes,1,2,1,Graduate,1,No,0,3800,3600,216,360,0,Urban,1,0,N,0
LP001384,Male,0,Yes,1,3+,1,Not Graduate,0,No,0,2071,754,94,480,1,Semiurban,0,0,Y,1
LP001385,Male,0,No,0,0,0,Graduate,1,No,0,5316,0,136,360,1,Urban,1,0,Y,1
LP001387,Female,1,Yes,1,0,0,Graduate,1,Yes,0,2929,2333,139,360,1,Semiurban,0,0,Y,1
LP001391,Male,0,Yes,1,0,0,Not Graduate,0,No,0,3572,4114,152,,0,Rural,0,1,N,0
LP001392,Female,1,No,0,1,1,Graduate,1,Yes,1,7451,0,,360,1,Semiurban,0,0,Y,1
LP001398,Male,0,No,0,0,0,Graduate,1,No,0,5050,0,118,360,1,Semiurban,0,0,Y,1
LP001401,Male,0,Yes,1,1,1,Graduate,1,No,0,14583,0,185,180,1,Rural,0,1,Y,1
LP001404,Female,1,Yes,1,0,0,Graduate,1,No,0,3167,2283,154,360,1,Semiurban,0,0,Y,1
LP001405,Male,0,Yes,1,1,1,Graduate,1,No,0,2214,1398,85,360,,Urban,1,0,Y,1
LP001421,Male,0,Yes,1,0,0,Graduate,1,No,0,5568,2142,175,360,1,Rural,0,1,N,0
LP001422,Female,1,No,0,0,0,Graduate,1,No,0,10408,0,259,360,1,Urban,1,0,Y,1
LP001426,Male,0,Yes,1,1,1,Graduate,1,No,0,5667,2667,180,360,1,Rural,0,1,Y,1
LP001430,Female,1,No,0,0,0,Graduate,1,No,0,4166,0,44,360,1,Semiurban,0,0,Y,1
LP001431,Female,1,No,0,0,0,Graduate,1,No,0,2137,8980,137,360,0,Semiurban,0,0,Y,1
LP001432,Male,0,Yes,1,2,1,Graduate,1,No,0,2957,0,81,360,1,Semiurban,0,0,Y,1
LP001439,Male,0,Yes,1,0,0,Not Graduate,0,No,0,4300,2014,194,360,1,Rural,0,1,Y,1
LP001443,Female,1,No,0,0,0,Graduate,1,No,0,3692,0,93,360,,Rural,0,1,Y,1
LP001448,Male,0,Yes,1,3+,1,Graduate,1,No,0,23803,0,370,360,1,Rural,0,1,Y,1
LP001449,Male,0,No,0,0,0,Graduate,1,No,0,3865,1640,,360,1,Rural,0,1,Y,1
LP001451,Male,0,Yes,1,1,1,Graduate,1,Yes,1,10513,3850,160,180,0,Urban,1,0,N,0
LP001465,Male,0,Yes,1,0,0,Graduate,1,No,0,6080,2569,182,360,,Rural,0,1,N,0
LP001469,Male,0,No,0,0,0,Graduate,1,Yes,1,20166,0,650,480,,Urban,1,0,Y,1
LP001473,Male,0,No,0,0,0,Graduate,1,No,0,2014,1929,74,360,1,Urban,1,0,Y,1
LP001478,Male,0,No,0,0,0,Graduate,1,No,0,2718,0,70,360,1,Semiurban,0,0,Y,1
LP001482,Male,0,Yes,1,0,0,Graduate,1,Yes,1,3459,0,25,120,1,Semiurban,0,0,Y,1
LP001487,Male,0,No,0,0,0,Graduate,1,No,0,4895,0,102,360,1,Semiurban,0,0,Y,1
LP001488,Male,0,Yes,1,3+,1,Graduate,1,No,0,4000,7750,290,360,1,Semiurban,0,0,N,0
LP001489,Female,1,Yes,1,0,0,Graduate,1,No,0,4583,0,84,360,1,Rural,0,1,N,0
LP001491,Male,0,Yes,1,2,1,Graduate,1,Yes,1,3316,3500,88,360,1,Urban,1,0,Y,1
LP001492,Male,0,No,0,0,0,Graduate,1,No,0,14999,0,242,360,0,Semiurban,0,0,N,0
LP001493,Male,0,Yes,1,2,1,Not Graduate,0,No,0,4200,1430,129,360,1,Rural,0,1,N,0
LP001497,Male,0,Yes,1,2,1,Graduate,1,No,0,5042,2083,185,360,1,Rural,0,1,N,0
LP001498,Male,0,No,0,0,0,Graduate,1,No,0,5417,0,168,360,1,Urban,1,0,Y,1
LP001504,Male,0,No,0,0,0,Graduate,1,Yes,1,6950,0,175,180,1,Semiurban,0,0,Y,1
LP001507,Male,0,Yes,1,0,0,Graduate,1,No,0,2698,2034,122,360,1,Semiurban,0,0,Y,1
LP001508,Male,0,Yes,1,2,1,Graduate,1,No,0,11757,0,187,180,1,Urban,1,0,Y,1
LP001514,Female,1,Yes,1,0,0,Graduate,1,No,0,2330,4486,100,360,1,Semiurban,0,0,Y,1
LP001516,Female,1,Yes,1,2,1,Graduate,1,No,0,14866,0,70,360,1,Urban,1,0,Y,1
LP001518,Male,0,Yes,1,1,1,Graduate,1,No,0,1538,1425,30,360,1,Urban,1,0,Y,1
LP001519,Female,1,No,0,0,0,Graduate,1,No,0,10000,1666,225,360,1,Rural,0,1,N,0
LP001520,Male,0,Yes,1,0,0,Graduate,1,No,0,4860,830,125,360,1,Semiurban,0,0,Y,1
LP001528,Male,0,No,0,0,0,Graduate,1,No,0,6277,0,118,360,0,Rural,0,1,N,0
LP001529,Male,0,Yes,1,0,0,Graduate,1,Yes,1,2577,3750,152,360,1,Rural,0,1,Y,1
LP001531,Male,0,No,0,0,0,Graduate,1,No,0,9166,0,244,360,1,Urban,1,0,N,0
LP001532,Male,0,Yes,1,2,1,Not Graduate,0,No,0,2281,0,113,360,1,Rural,0,1,N,0
LP001535,Male,0,No,0,0,0,Graduate,1,No,0,3254,0,50,360,1,Urban,1,0,Y,1
LP001536,Male,0,Yes,1,3+,1,Graduate,1,No,0,39999,0,600,180,0,Semiurban,0,0,Y,1
LP001541,Male,0,Yes,1,1,1,Graduate,1,No,0,6000,0,160,360,,Rural,0,1,Y,1
LP001543,Male,0,Yes,1,1,1,Graduate,1,No,0,9538,0,187,360,1,Urban,1,0,Y,1
LP001546,Male,0,No,0,0,0,Graduate,1,Yes,0,2980,2083,120,360,1,Rural,0,1,Y,1
LP001552,Male,0,Yes,1,0,0,Graduate,1,No,0,4583,5625,255,360,1,Semiurban,0,0,Y,1
LP001560,Male,0,Yes,1,0,0,Not Graduate,0,No,0,1863,1041,98,360,1,Semiurban,0,0,Y,1
LP001562,Male,0,Yes,1,0,0,Graduate,1,No,0,7933,0,275,360,1,Urban,1,0,N,0
LP001565,Male,0,Yes,1,1,1,Graduate,1,No,0,3089,1280,121,360,0,Semiurban,0,0,N,0
LP001570,Male,0,Yes,1,2,1,Graduate,1,No,0,4167,1447,158,360,1,Rural,0,1,Y,1
LP001572,Male,0,Yes,1,0,0,Graduate,1,No,0,9323,0,75,180,1,Urban,1,0,Y,1
LP001574,Male,0,Yes,1,0,0,Graduate,1,No,0,3707,3166,182,,1,Rural,0,1,Y,1
LP001577,Female,1,Yes,1,0,0,Graduate,1,No,0,4583,0,112,360,1,Rural,0,1,N,0
LP001578,Male,0,Yes,1,0,0,Graduate,1,No,0,2439,3333,129,360,1,Rural,0,1,Y,1
LP001579,Male,0,No,0,0,0,Graduate,1,No,0,2237,0,63,480,0,Semiurban,0,0,N,0
LP001580,Male,0,Yes,1,2,1,Graduate,1,No,0,8000,0,200,360,1,Semiurban,0,0,Y,1
LP001581,Male,0,Yes,1,0,0,Not Graduate,0,Yes,0,1820,1769,95,360,1,Rural,0,1,Y,1
LP001585,Female,1,Yes,1,3+,1,Graduate,1,No,0,51763,0,700,300,1,Urban,1,0,Y,1
LP001586,Male,0,Yes,1,3+,1,Not Graduate,0,No,0,3522,0,81,180,1,Rural,0,1,N,0
LP001594,Male,0,Yes,1,0,0,Graduate,1,No,0,5708,5625,187,360,1,Semiurban,0,0,Y,1
LP001603,Male,0,Yes,1,0,0,Not Graduate,0,Yes,1,4344,736,87,360,1,Semiurban,0,0,N,0
LP001606,Male,0,Yes,1,0,0,Graduate,1,No,0,3497,1964,116,360,1,Rural,0,1,Y,1
LP001608,Male,0,Yes,1,2,1,Graduate,1,No,0,2045,1619,101,360,1,Rural,0,1,Y,1
LP001610,Male,0,Yes,1,3+,1,Graduate,1,No,0,5516,11300,495,360,0,Semiurban,0,0,N,0
LP001616,Male,0,Yes,1,1,1,Graduate,1,No,0,3750,0,116,360,1,Semiurban,0,0,Y,1
LP001630,Male,0,No,0,0,0,Not Graduate,0,No,0,2333,1451,102,480,0,Urban,1,0,N,0
LP001633,Male,0,Yes,1,1,1,Graduate,1,No,0,6400,7250,180,360,0,Urban,1,0,N,0
LP001634,Male,0,No,0,0,0,Graduate,1,No,0,1916,5063,67,360,,Rural,0,1,N,0
LP001636,Male,0,Yes,1,0,0,Graduate,1,No,0,4600,0,73,180,1,Semiurban,0,0,Y,1
LP001637,Male,0,Yes,1,1,1,Graduate,1,No,0,33846,0,260,360,1,Semiurban,0,0,N,0
LP001639,Female,1,Yes,1,0,0,Graduate,1,No,0,3625,0,108,360,1,Semiurban,0,0,Y,1
LP001640,Male,0,Yes,1,0,0,Graduate,1,Yes,1,39147,4750,120,360,1,Semiurban,0,0,Y,1
LP001641,Male,0,Yes,1,1,1,Graduate,1,Yes,1,2178,0,66,300,0,Rural,0,1,N,0
LP001643,Male,0,Yes,1,0,0,Graduate,1,No,0,2383,2138,58,360,,Rural,0,1,Y,1
LP001644,Male,0,Yes,1,0,0,Graduate,1,Yes,1,674,5296,168,360,1,Rural,0,1,Y,1
LP001647,Male,0,Yes,1,0,0,Graduate,1,No,0,9328,0,188,180,1,Rural,0,1,Y,1
LP001653,Male,0,No,0,0,0,Not Graduate,0,No,0,4885,0,48,360,1,Rural,0,1,Y,1
LP001656,Male,0,No,0,0,0,Graduate,1,No,0,12000,0,164,360,1,Semiurban,0,0,N,0
LP001657,Male,0,Yes,1,0,0,Not Graduate,0,No,0,6033,0,160,360,1,Urban,1,0,N,0
LP001658,Male,0,No,0,0,0,Graduate,1,No,0,3858,0,76,360,1,Semiurban,0,0,Y,1
LP001664,Male,0,No,0,0,0,Graduate,1,No,0,4191,0,120,360,1,Rural,0,1,Y,1
LP001665,Male,0,Yes,1,1,1,Graduate,1,No,0,3125,2583,170,360,1,Semiurban,0,0,N,0
LP001666,Male,0,No,0,0,0,Graduate,1,No,0,8333,3750,187,360,1,Rural,0,1,Y,1
LP001669,Female,1,No,0,0,0,Not Graduate,0,No,0,1907,2365,120,,1,Urban,1,0,Y,1
LP001671,Female,1,Yes,1,0,0,Graduate,1,No,0,3416,2816,113,360,,Semiurban,0,0,Y,1
LP001673,Male,0,No,0,0,0,Graduate,1,Yes,1,11000,0,83,360,1,Urban,1,0,N,0
LP001674,Male,0,Yes,1,1,1,Not Graduate,0,No,0,2600,2500,90,360,1,Semiurban,0,0,Y,1
LP001677,Male,0,No,0,2,1,Graduate,1,No,0,4923,0,166,360,0,Semiurban,0,0,Y,1
LP001682,Male,0,Yes,1,3+,1,Not Graduate,0,No,0,3992,0,,180,1,Urban,1,0,N,0
LP001688,Male,0,Yes,1,1,1,Not Graduate,0,No,0,3500,1083,135,360,1,Urban,1,0,Y,1
LP001691,Male,0,Yes,1,2,1,Not Graduate,0,No,0,3917,0,124,360,1,Semiurban,0,0,Y,1
LP001692,Female,1,No,0,0,0,Not Graduate,0,No,0,4408,0,120,360,1,Semiurban,0,0,Y,1
LP001693,Female,1,No,0,0,0,Graduate,1,No,0,3244,0,80,360,1,Urban,1,0,Y,1
LP001698,Male,0,No,0,0,0,Not Graduate,0,No,0,3975,2531,55,360,1,Rural,0,1,Y,1
LP001699,Male,0,No,0,0,0,Graduate,1,No,0,2479,0,59,360,1,Urban,1,0,Y,1
LP001702,Male,0,No,0,0,0,Graduate,1,No,0,3418,0,127,360,1,Semiurban,0,0,N,0
LP001708,Female,1,No,0,0,0,Graduate,1,No,0,10000,0,214,360,1,Semiurban,0,0,N,0
LP001711,Male,0,Yes,1,3+,1,Graduate,1,No,0,3430,1250,128,360,0,Semiurban,0,0,N,0
LP001713,Male,0,Yes,1,1,1,Graduate,1,Yes,1,7787,0,240,360,1,Urban,1,0,Y,1
LP001715,Male,0,Yes,1,3+,1,Not Graduate,0,Yes,1,5703,0,130,360,1,Rural,0,1,Y,1
LP001716,Male,0,Yes,1,0,0,Graduate,1,No,0,3173,3021,137,360,1,Urban,1,0,Y,1
LP001720,Male,0,Yes,1,3+,1,Not Graduate,0,No,0,3850,983,100,360,1,Semiurban,0,0,Y,1
LP001722,Male,0,Yes,1,0,0,Graduate,1,No,0,150,1800,135,360,1,Rural,0,1,N,0
LP001726,Male,0,Yes,1,0,0,Graduate,1,No,0,3727,1775,131,360,1,Semiurban,0,0,Y,1
LP001732,Male,0,Yes,1,2,1,Graduate,1,No,0,5000,0,72,360,0,Semiurban,0,0,N,0
LP001734,Female,1,Yes,1,2,1,Graduate,1,No,0,4283,2383,127,360,,Semiurban,0,0,Y,1
LP001736,Male,0,Yes,1,0,0,Graduate,1,No,0,2221,0,60,360,0,Urban,1,0,N,0
LP001743,Male,0,Yes,1,2,1,Graduate,1,No,0,4009,1717,116,360,1,Semiurban,0,0,Y,1
LP001744,Male,0,No,0,0,0,Graduate,1,No,0,2971,2791,144,360,1,Semiurban,0,0,Y,1
LP001749,Male,0,Yes,1,0,0,Graduate,1,No,0,7578,1010,175,,1,Semiurban,0,0,Y,1
LP001750,Male,0,Yes,1,0,0,Graduate,1,No,0,6250,0,128,360,1,Semiurban,0,0,Y,1
LP001751,Male,0,Yes,1,0,0,Graduate,1,No,0,3250,0,170,360,1,Rural,0,1,N,0
LP001754,Male,0,Yes,1,2,1,Not Graduate,0,Yes,1,4735,0,138,360,1,Urban,1,0,N,0
LP001758,Male,0,Yes,1,2,1,Graduate,1,No,0,6250,1695,210,360,1,Semiurban,0,0,Y,1
LP001760,Male,0,Yes,1,1,1,Graduate,1,No,0,4758,0,158,480,1,Semiurban,0,0,Y,1
LP001761,Male,0,No,0,0,0,Graduate,1,Yes,1,6400,0,200,360,1,Rural,0,1,Y,1
LP001765,Male,0,Yes,1,1,1,Graduate,1,No,0,2491,2054,104,360,1,Semiurban,0,0,Y,1
LP001768,Male,0,Yes,1,0,0,Graduate,1,Yes,0,3716,0,42,180,1,Rural,0,1,Y,1
LP001770,Male,0,No,0,0,0,Not Graduate,0,No,0,3189,2598,120,,1,Rural,0,1,Y,1
LP001776,Female,1,No,0,0,0,Graduate,1,No,0,8333,0,280,360,1,Semiurban,0,0,Y,1
LP001778,Male,0,Yes,1,1,1,Graduate,1,No,0,3155,1779,140,360,1,Semiurban,0,0,Y,1
LP001784,Male,0,Yes,1,1,1,Graduate,1,No,0,5500,1260,170,360,1,Rural,0,1,Y,1
LP001786,Male,0,Yes,1,0,0,Graduate,1,No,0,5746,0,255,360,,Urban,1,0,N,0
LP001788,Female,1,No,0,0,0,Graduate,1,Yes,1,3463,0,122,360,,Urban,1,0,Y,1
LP001790,Female,1,No,0,1,1,Graduate,1,No,0,3812,0,112,360,1,Rural,0,1,Y,1
LP001792,Male,0,Yes,1,1,1,Graduate,1,No,0,3315,0,96,360,1,Semiurban,0,0,Y,1
LP001798,Male,0,Yes,1,2,1,Graduate,1,No,0,5819,5000,120,360,1,Rural,0,1,Y,1
LP001800,Male,0,Yes,1,1,1,Not Graduate,0,No,0,2510,1983,140,180,1,Urban,1,0,N,0
LP001806,Male,0,No,0,0,0,Graduate,1,No,0,2965,5701,155,60,1,Urban,1,0,Y,1
LP001807,Male,0,Yes,1,2,1,Graduate,1,Yes,1,6250,1300,108,360,1,Rural,0,1,Y,1
LP001811,Male,0,Yes,1,0,0,Not Graduate,0,No,0,3406,4417,123,360,1,Semiurban,0,0,Y,1
